Ref,Val,Package,PosX,PosY,Rot,Side
"R41","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",46.000000,34.000000,0.000000,top
"R42","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",20.733466,37.007391,0.000000,top
"R43","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",24.733466,34.007391,180.000000,top
"R44","2R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",24.733466,37.007391,180.000000,top
"R45","2R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.733466,37.007391,180.000000,top
"R46","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",32.733466,37.007391,180.000000,top
"R47","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.733466,34.007391,0.000000,top
"R48","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",3.233466,37.007391,0.000000,top
"R49","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",7.233466,34.007391,180.000000,top
"R50","2R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",7.233466,37.007391,180.000000,top
"R51","2R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.233466,37.007391,180.000000,top
"R52","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",15.233466,37.007391,180.000000,top
"R53","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",11.233466,34.007391,0.000000,top
"R54","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",62.000000,11.500000,-90.000000,top
"R55","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",60.000000,11.500000,-90.000000,top
"R56","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",64.000000,11.500000,-90.000000,top
"R57","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",2.000000,61.000000,90.000000,top
"TR1","ZHTM104B","ZHTM104B",60.983466,42.007391,0.000000,top
"TR2","ZHTM104B","ZHTM104B",43.733466,42.007391,0.000000,top
"TR3","ZHTM104B","ZHTM104B",26.483466,42.007391,0.000000,top
"TR4","ZHTM104B","ZHTM104B",9.233466,42.007391,0.000000,top
"U1","ATM90E36A","TQFP-48_7x7mm_P0.5mm",57.000000,20.000000,-90.000000,top
"U2","ISO7762FDBQ","SSOP-16_3.9x4.9mm_P0.635mm",34.000000,18.000000,0.000000,top
"U5","AMS1117-3.3","SOT-223-3_TabPin2",8.842500,16.000000,90.000000,top
"Y1","16.384MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",48.000000,19.200000,-90.000000,top
